,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
119,1660 Steele St,1,1,1.0,1.0,600,600,39.743123,-104.949669,1.8916681624179585,1500,1500,Colfax Avenue Park,,,,,
120,2035 E 18th Ave Apt 5,2,2,1.0,1.0,800,800,39.745118,-104.962585,1.9097539928883136,1750,1750,City Park West,City Park West,85.0,55.0,95.0,4854.0
121,1155 Ash St Apt 507,2,2,2.0,2.0,N/A,N/A,39.733774,-104.938851,1.9136721636046505,1850,1850,Hale,Hale,71.0,48.0,77.0,6942.0
122,1259 Albion St,1,2,1.0,1.0,650,850,39.735786,-104.939814,1.924982957601774,1125,1300,Hale,Hale,71.0,48.0,77.0,6942.0
123,1001 E Bayaud Ave,0,2,1.0,2.0,421,1131,39.715078,-104.975039,1.937215386920301,1331,3328,Speer,Speer,85.0,55.0,95.0,10957.0
124,1285 N Albion St Unit 202,3,3,2.0,2.0,N/A,N/A,39.736196,-104.939815,1.9456686812536161,1985,1985,Hale,Hale,71.0,48.0,77.0,6942.0
125,1285 N Albion St Unit 303,1,1,1.0,1.0,N/A,N/A,39.736196,-104.939815,1.9456686812536161,1385,1385,Hale,Hale,71.0,48.0,77.0,6942.0
126,1285 N Albion St Unit 205,1,1,1.0,1.0,N/A,N/A,39.736196,-104.939815,1.9456686812536161,1305,1305,Hale,Hale,71.0,48.0,77.0,6942.0
127,1285 N Albion St Unit 102,3,3,2.0,2.0,N/A,N/A,39.736197,-104.939814,1.945796100215854,1995,1995,Hale,Hale,71.0,48.0,77.0,6942.0
128,88 N Washington St Unit 4,1,1,1.0,1.0,N/A,N/A,39.718135,-104.978935,1.9639321097527356,1335,1335,Speer,Speer,85.0,55.0,95.0,10957.0
129,4210 E 11th Ave,0,3,1.0,2.0,378,1588,39.732722,-104.937804,1.9643731758617167,1340,3922,Hale,Hale,71.0,48.0,77.0,6942.0
130,77 S Ogden St,0,2,1.0,2.0,414,900,39.715164,-104.976057,1.9893733152453985,1210,1835,Broadway View,,,,,
131,4300 E 9th Ave,0,3,1.0,3.0,538,1467,39.73021,-104.93664,2.0087244985539616,1435,2247,Hale,Hale,71.0,48.0,77.0,6942.0
132,1899 Gaylord St,1,1,1.0,1.0,500,500,39.746527,-104.961356,2.056680519661177,1150,1150,City Park West,City Park West,85.0,55.0,95.0,4854.0
133,1639 N Ogden St Apt 3,1,1,1.0,1.0,N/A,N/A,39.742462,-104.975133,2.061219147056605,1095,1095,North Capitol Hill,,,,,
134,1188 N Bellaire St Unit 5,0,0,1.0,1.0,N/A,N/A,39.73449,-104.936944,2.0940766601337013,965,965,Bellevue Park,,,,,
135,3750 E Bayaud Ave,3,3,3.5,3.5,3650,3650,39.714531,-104.942859,2.099217938854558,5000,5000,Burlington Capitol Hill,,,,,
136,300 S Lafayette St,1,2,1.0,2.0,617,1216,39.710899,-104.970732,2.120605585401405,1695,2075,Fitzgeralds of Lake View,,,,,
137,726 E 16th Ave Apt 301,0,0,1.0,1.0,360,360,39.741393,-104.978037,2.142123194068406,1700,1700,North Capitol Hill,,,,,
138,790 Clermont St Apt 5,2,2,1.0,1.0,N/A,N/A,39.7291,-104.93476,2.158439448916668,1325,1325,Sunrise Club,,,,,
139,790 Clermont St Apt 8,2,2,1.0,1.0,N/A,N/A,39.7291,-104.93476,2.158439448916668,1343,1343,Sunrise Club,,,,,
140,4514 E 8th Ave Apt 11,2,2,1.0,1.0,N/A,N/A,39.72895,-104.934629,2.168813653452086,1343,1343,Sunrise Club,,,,,
141,1190 Birch St # 1190305,1,1,1.0,1.0,N/A,N/A,39.734441,-104.935838,2.1814730780296068,1340,1340,Bellevue Park,,,,,
142,815 Cherry St Apt 102,1,1,1.0,1.0,N/A,N/A,39.729595,-104.934323,2.1993283753042125,1225,1225,Hale,Hale,71.0,48.0,77.0,6942.0
143,815 Cherry St Apt 105,1,1,1.0,1.0,N/A,N/A,39.729595,-104.934323,2.1993283753042125,1225,1225,Hale,Hale,71.0,48.0,77.0,6942.0
144,800 N Cherry St Unit 18,0,0,1.0,1.0,N/A,N/A,39.729433,-104.933654,2.25510884526226,995,995,Hale,Hale,71.0,48.0,77.0,6942.0
145,800 N Cherry St Unit 6,1,1,1.0,1.0,N/A,N/A,39.729433,-104.933654,2.25510884526226,1095,1095,Hale,Hale,71.0,48.0,77.0,6942.0
146,800 N Cherry St Unit 7,1,1,1.0,1.0,N/A,N/A,39.729433,-104.933654,2.25510884526226,1095,1095,Hale,Hale,71.0,48.0,77.0,6942.0
147,850 N Cherry St Unit 302,1,1,1.0,1.0,N/A,N/A,39.730251,-104.933655,2.262957783542973,1220,1220,Hale,Hale,71.0,48.0,77.0,6942.0
148,850 N Cherry St Unit 108,1,1,1.0,1.0,N/A,N/A,39.730251,-104.933655,2.262957783542973,1095,1095,Hale,Hale,71.0,48.0,77.0,6942.0
149,850 N Cherry St Unit 305,0,0,1.0,1.0,N/A,N/A,39.730251,-104.933655,2.262957783542973,995,995,Hale,Hale,71.0,48.0,77.0,6942.0
150,150 S Washington St Apt 205,1,1,1.0,1.0,N/A,N/A,39.713699,-104.978924,2.277695942980534,1199,1199,Speer,Speer,85.0,55.0,95.0,10957.0
151,150 S Washington St Apt 303,1,1,1.0,1.0,N/A,N/A,39.713699,-104.978924,2.277695942980534,1230,1230,Speer,Speer,85.0,55.0,95.0,10957.0
152,300 S Monroe St,1,3,1.0,3.0,766,2697,39.71122,-104.94447,2.295056206500922,2184,7437,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
153,833 Dexter _205 St # 833,1,1,1.0,1.0,N/A,N/A,39.729874,-104.93313,2.303585473755655,1320,1320,Hale,Hale,71.0,48.0,77.0,6942.0
154,225 S Harrison St,1,3,1.0,2.0,611,11107,39.71253,-104.94211,2.30611064681562,1599,3099,Burlington Capitol Hill,,,,,
155,1756 N Clarkson St Apt 402,2,2,2.0,2.0,N/A,N/A,39.744372,-104.977314,2.3437462445155397,1975,1975,North Capitol Hill,,,,,
156,1756 N Clarkson St Apt 204,1,1,1.0,1.0,N/A,N/A,39.744459,-104.977196,2.3448809078507917,1478,1478,North Capitol Hill,,,,,
157,1756 N Clarkson St Apt 504,1,1,1.0,1.0,N/A,N/A,39.74446,-104.9772,2.345182553918045,1598,1598,North Capitol Hill,,,,,
158,360 S Monroe St,0,3,1.0,3.0,545,1830,39.71058,-104.94464,2.3453884181335534,1546,4332,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
159,1756 N Clarkson St Apt 403,1,1,1.0,1.0,N/A,N/A,39.744459,-104.977295,2.350215397049981,1568,1568,North Capitol Hill,,,,,
160,1756 N Clarkson St Apt 303,1,1,1.0,1.0,N/A,N/A,39.744459,-104.977295,2.350215397049981,1568,1568,North Capitol Hill,,,,,
161,820 Dexter _20 St # 820,1,1,1.0,1.0,N/A,N/A,39.729635,-104.932485,2.3564449734477853,1330,1330,Hale,Hale,71.0,48.0,77.0,6942.0
162,830 Dexter St Apt 2,1,1,1.0,1.0,N/A,N/A,39.729805,-104.932486,2.357830866309955,991,991,Hale,Hale,71.0,48.0,77.0,6942.0
163,830 Dexter St Apt 9,1,1,1.0,1.0,N/A,N/A,39.729805,-104.932486,2.357830866309955,1045,1045,Hale,Hale,71.0,48.0,77.0,6942.0
164,4720 E Eighth Ave Unit 4,1,1,1.0,1.0,N/A,N/A,39.729085,-104.932425,2.3578472660765226,1025,1025,Sunrise Club,,,,,
165,4720 E Eighth Ave Unit 8,1,1,1.0,1.0,N/A,N/A,39.729085,-104.932425,2.3578472660765226,1025,1025,Sunrise Club,,,,,
166,825 Dahlia St,0,2,1.0,2.0,370,800,39.729895,-104.931956,2.403843766766188,1260,1570,Hale,Hale,71.0,48.0,77.0,6942.0
167,1400 Clermont St # 1400-3,2,2,1.0,1.0,1000,1000,39.738499,-104.934694,2.452666096205767,1550,1550,Bellevue,,,,,
168,2150-2170 Franklin St,2,2,1.0,1.0,650,650,39.74928,-104.96806,2.4591184417026737,1200,1275,City Park West,City Park West,85.0,55.0,95.0,4854.0
169,351 S Jackson St,0,2,1.0,2.5,595,1680,39.709791,-104.942912,2.5018606030880246,1476,4154,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
170,1515 E 22nd Ave,3,3,1.0,1.0,1800,1800,39.74955,-104.969137,2.515167681065369,2100,2100,City Park West,City Park West,85.0,55.0,95.0,4854.0
171,1511 E 22nd Avenue 22nd Ave,3,3,1.0,1.0,1800,1800,39.74955,-104.969226,2.517554747869736,2100,2100,City Park West,City Park West,85.0,55.0,95.0,4854.0
172,350 S Jackson St,0,2,1.0,2.0,601,1334,39.70967,-104.94196,2.560936030861087,1396,2307,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
173,2111 N Downing St Apt B,2,2,1.0,1.0,800,800,39.748531,-104.973732,2.563005984613565,1750,1750,Five Points,Five Points,90.0,73.0,97.0,12709.0
174,675 S University Blvd Apt 204,1,1,1.0,1.0,N/A,N/A,39.704573,-104.959727,2.6134183795781456,1695,1695,Broadway Heights,,,,,
175,755 E 19th Ave,1,2,1.0,2.0,640,1292,39.74688,-104.97847,2.6241316819772544,1632,2716,North Capitol Hill,,,,,
176,4561 Batavia Pl,3,3,2.0,2.0,N/A,N/A,39.742789,-104.933961,2.761365979281448,2600,2600,South Park Hill,,,,,
